name,line
JAKE," And apparently, they won't stop until there's a penis drawn on every cop car in Brooklyn."
JAKE, The butt?
JAKE," Did you just say ""genital-man""? Because if so, kudos, and yes, I have a plan. I'm gonna plant a decoy squad car as bait. Meanwhile, I'll be waiting in an undercover vehicle here. He's already tagged three U/C vehicles."
JAKE," We? You're coming with me? Sir, with all due respect, I don't need backup."
AMY, I studied art history too.
AMY," So basically, everyone's first eight guesses in hangman?"
JAKE," So Holt's coming on my stakeout now? I made a mixtape with some very explicit rap on it, and now I can't sing along."
JAKE," Yes, I still listen to cassettes. This guy is all over me. I mean, a Captain on a minor vandalism case? It's insane."
JAKE," Well, I like the old sheriff. I mean, McGintley wouldn't care about a messy desk or all these stupid rules."
JAKE, Science experiment. I wanna see what happens if I taser this cantaloupe.
JAKE," And McGintley wouldn't care if I was three minutes late 'cause he was always an hour late and hungover, and he would let you do literally anything you want if you gave him a hamburger."
JAKE, Okay. That's very funny.
JAKE, Mixtape.
JAKE, You left without me.
JAKE," Well, I had to put on my undercover minivan disguise. Say hello to Harvey Norgenbloom, CPA, recently divorced father of two with a dark sexual secret. What's your cover?"
JAKE," Okay, so you do not like my ensemble."
JAKE," But the sandals define Harvey. He's a sandals guy. [sighs] Captain, why the babysitting? Why are you micromanaging me?"
JAKE, Yes.
JAKE," Hey, I do take my job seriously. I put away bad guys. That's what matters."
JAKE, That's on Harvey. That's not me.
JAKE," Okay. Counteroffer. I give you 50 bucks, and you let me do whatever I want. Fine. We'll do it your way. From this point on, I'll do every part of the job perfectly, perfecter than perfectly."
JAKE, I was testing you. You did perfectly. Quick update on the tagger situation... He is currently spray-painting our van right now.
JAKE," Ow, ow, ow. Sandal down. Lost a sandal. NYPD, freeze! I'm here. You're busted."
JAKE, We got him.
JAKE," Oh, hey, Captain. Hi, so I was able to procure that $50 after all, and my offer still stands. Let me do whatever I want, and the $40... That's how much I actually have... is yours. No? Fair enough. I only had 30 anyways. Well, I guess in order to get you to stop micromanaging me, I'm gonna have to get back to the most important piece of police work there is: Writing a perfect report"
JAKE, And I'm anxious to restore my status as a lone wolf. [Howls]
JAKE," Yeah, I'm gonna do one more. Lone wolf. He's digging me."
JAKE," Hey, Sarge, do you know where we keep the glitter? Just wanna make sure this report for the Captain is extra sparkly."
JAKE," Look, if I have to do things his way, I'm gonna do them my way."
JAKE," I'm not scared of him, okay? I'm not scared of anyone. Oh, also, The Tagger drew a penis on your minivan. I'm sorry. Please don't chase after me."
AMY," High ceilings, three bedrooms. Why does every perp have a nicer place than I do?"
AMY," Tacky. Not a deal breaker, though. I'd just repaint it."
AMY, Uh-huh. Kitchen. Whoa. Jackpot. There's way more than 12 keys in here.
AMY," Baseboard, behind the hamper."
AMY, Green.
JAKE," Sorry this is taking so long. Still writing up my report. Pretty detailed. Hey, Gina, can you look up what the humidity was about an hour ago and also what moon cycle we're in?"
JAKE," Thanks, Gina. And now to you. What's your name?"
JAKE," I don't believe you. Come on, man. Just tell me who you are. I need to fill this thing out perfectly, so my boss will get off my back. Are you a minor? How old are you?"
JAKE," Okay, you know what? I'm gonna put that in there. And then you're gonna be tried as an adult highlander. And they're gonna cut your head off. Is that what you want?"
JAKE," Hey, look at this. Your prints were on file. Nice to meet you, Trevor Podolski. Oh, Podolski, just like Deputy Police Commissioner Podolski. Your father is Deputy Police Commissioner Podolski."
JAKE," Okay, you know what? Yes."
AMY, 20.2 kilos. I feel like we could round up to 21.
AMY," I’ll call the D.A. Rosa, you log this in. Charles, maybe watch Gina."
JAKE," We gotta let him walk, right?"
JAKE," Captain, I did all the work on this perfectly. I mean, my report has over 25 pages of meticulous research, diagrams, and maps. I even put an “About the Author” section on the back. [flips it to show a dramatic picture of him on the back] I did everything you asked me to do. But this is above my pay grade. You gotta make the call."
JAKE," Yeah, but you think I should process him."
JAKE," Well, if I do, the Deputy Commissioner could ruin my career, and I’ll end up on the streets selling my beautiful body for a can of beans."
JAKE, Has anyone ever told you you look exactly like a statue?
JAKE," So here are my options. One, I process Podolski’s kid, he fires me, and I spend the rest of my career as a detective, third grade, which is literally pathetic. No offense, Hitchcock."
JAKE," Option two, I let him walk, and I spend the rest of my life with Holt as my babysitter. Honestly, when I think about spending the rest of my life with a babysitter, she’s kind of a cute blond named Erica, and she always has pizza money and lets me stay up as late as I want."
AMY, How old are you in this scenario?
JAKE," Anyway, the point is Holt cares more about whether I “do my job right” than whether I have a job at all. So I’m taking suggestions."
AMY," I say piss off Holt, so we get to watch your career end right in front of us."
JAKE," Okay, thank you for that, Santiago. [turns to his whiteboard and puts a mark under ‘dont arrest’] I’m gonna put you down for “don’t arrest,” and I’m also going to put your phone number on every urinal in Rikers."
JAKE, So you’re suggesting police brutality?
JAKE," Hey, Scully."
JAKE," You want this collar? Paperwork’s all done, and it’s perfect."
JAKE," Okay. Boyle, what do you think?"
JAKE," Alright, I’m gonna put you down for “bummer.” And you can hang out in that category all by yourself."
JAKE," Well, my career is over. See you at the bottom, Hitchcock. No offense."
JAKE, Deputy Commissioner.
JAKE," He is at my desk, enjoying a nice glass of bubbly water and some chocolate I was saving for a special occasion."
AMY," Hey, Peralta, when you’re done, can you help me wrap up this massive cocaine bust I just pulled off? [pats Jake’s shoulder] Thanks. Oh, Deputy Commissioner, didn’t see you there. Sorry for interrupting. Amy Santiago."
JAKE, So I caught him red-handed doing nothing?
JAKE," You know, normally, I would agree with you, but I’ve been pretty detail-oriented the last few hours."
JAKE, Oh.
JAKE," You do realize he did thousands of dollars worth of property damage, though, to police vehicles."
JAKE," Would you actually mind just checking out my report? It’s pretty thorough, and I spent over an hour on fonts. Kinda snazzy, so…"
JAKE, Thanks.
JAKE, Have a good one.
JAKE," Well, we don’t have to worry about Podolski’s son anymore. The case is officially out of my hands. No charges filed."
JAKE," The Deputy Commissioner threw my report in Terry’s trash can, and he’d been eating yogurt earlier."
JAKE," Kinda, yeah. I called six precincts about this kid. He’s been brought in a dozen times. Theft, vandalism, drunken disorderly, but he’s never been processed. His daddy comes in and bails him out every time. He’s a lucky little jerk."
JAKE," Alright, I see what you’re trying to do, but it’s not gonna work. I’m not going to arrest him. I’m going to arrest him!"
JAKE, Yes.
JAKE," Excuse me, sir. Trevor Podolski, you’re under arrest for vandalism and destruction of property."
JAKE," First off, the name’s Santiago, Detective Amy Santiago. Second, I’m arresting your son, which, as I say it aloud, seems like an unwise choice, but it’s the one I’m making. Once again, my name is Amy Santiago."
JAKE," Damn, son!"
JAKE," Sorry. Deputy Commissioner, if you wanna pick Trevor up, he’ll be at the Nine-Nine. [walks back to police car] Let’s go, Fartman."
JAKE, I’m not late. I’m here. Right on time.
JAKE," Baby steps, Captain. Baby steps."
AMY, I'm so glad we could finally do this.
AMY," Yeah. Speaking of, this is work. Sorry. What's up, Peralta?"
AMY, Okay.
JAKE," Here. Of course he did. He's a great primary. And I'm sorry I was such a bad number two. I may, for the first time, have been a bit of a jerk, and I'm sorry."
JAKE, The holding cell's completely full. I keep having to separate Hillary Clinton and Kim Jong-Un.
JAKE, Paperwork delivery.
JAKE,"Thank you, Charles."
JAKE," Yeah, maybe it's just Charles."
JAKE," Ohh, strong. Ahh."
JAKE, No Peralta here. Just a normal janitor pushing trash around.
JAKE," Captain, hey."
JAKE," Uh, it did work. This whole janitor gambit was designed to fail. It's just like in chess. Sometimes in order to win, you have to sacrifice your king."
JAKE," Yeah, I used to play with my uncle Bob all the time, and he said I was great."
JAKE, He taught me how to shoot backgammon too.
JAKE," Uh, I'm not a dumb butt. I had a diversion planned. There was just a slight timing issue. Oh, my God! Get down, everyone! There's a big fire! Captain, you better head over there for, like, 15 minutes and see what's going on with that. Beware of the back draft. I'll be in your office. You have beautiful eyes. Have it your way. But you're gonna need this. And... that. It's filthy in there."
AMY, Stop trying to get me to love Halloween. It'll never work.
AMY," Oh, God, please don't. Hey, heads up. I'll cut 'em off at the exit. Okay."
AMY," He ditched the drugs. I'm on it. Ugh. [Groans] Oof, everything is sticking to me. Ooh. Ay, h. Yes."
JAKE," Wait, stop scratching me. We're supposed to be a team."
JAKE, Way to ruin the surprise.
JAKE, All part of my elaborate plan to defeat you.
JAKE," Maybe, if we're talking about who's winning our bet. But if we're talking about who's holding more birds, I'm winning, four-nothing."
JAKE, Yeah. 
AMY,  He high-fived me too.
JAKE," Well, I was gonna ask you to tell the Captain that I brought in royal babies for Diaz, but I'm sure he already knows, since he's always one step ahead of me."
JAKE," Yeah, I'm not really sure that applies here, Gina."
JAKE," Oh, Natasha had her baby?"
JAKE, Yeah.
JAKE,Small world.
AMY," Charles, I had to. Tonight has been awful. Halloween is the worst, and I don't understand why you like it."
AMY, I don't really need it either.
JAKE," Yes, I do. Hit it, royal babies."
JAKE, What... no!
JAKE, Will you stop catching me? Do you have any idea how much I spent on key chains?
JAKE," Wow, that is unbelievably close. 22.76."
JAKE," Okay, look. Tonight has been a little humiliating. Things are not going well, so I'm gonna just throw this out there. What do you say we call off the bet and pretend this whole thing never happened?"
JAKE," What? No. Pfft. I meant to give you an out, so you could save face."
JAKE," Yeah, for you. "
AMY," Captain, sorry to interrupt. Some officers just arrested Peralta."
AMY,They caught him scaling the side of the building with a blowtorch.
JAKE," Captain. Welcome to the endgame. Would you care to shake the hand of the man who defeated you? Forgot I was wearing handcuffs. Ohh, that hurt. Whoo!"
JAKE," I was thinking I had better core strength. I got winded, like, ten feet up."
JAKE," Well, that's not surprising. You constantly underestimate me."
JAKE," Which is precisely where I planned on being. Captain, let me tell you a little story. You remember when I fell through your ceiling?"
JAKE," It was, I admit, a disastrous failure. But it gave me the idea for Herman, the friendly janitor you met. With Herman, I commenced the perfect crime."
JAKE, But you didn't catch Rosa.
JAKE," No, me neither. Of course, I had to find a way to get her out of your office without you seeing her."
JAKE," Oh, the gray pigeons?"
JAKE, And I got it.
JAKE," The four numbers in your passcode. Based on your advanced age, I assumed that you use the same passcode for everything... Your phone, your email, and, of course, your safe."
JAKE," It was at that point that I bumped into a girl dressed as a sexy robot, and we got our flirt on... hard."
JAKE, 'Sup?
JAKE," Oh, it wasn't. It just ruled. And that brings us to five minutes ago, when Amy came to your office and told you that I had been arrested. I knew she's the only one you would believe because, frankly, she's usually too lame to take part in these kinds of things."
JAKE," I mean, really stretched it. I don't know if you noticed, but there were times where I was like, what am I even talking about? This isn't... (timer goes off) Oh. But now, four minutes is up. Which means Boyle is either on the other side of that door holding your medal, or I've lost."
JAKE,"20 seconds to spare. Game over, Captain. Check me."
JAKE, I appealed to their sense of teamwork and camraderie with a rousing speech that would put Shakespeare to shame.
JAKE," [Scottish accent] For too long, we've been put down, ridiculed, made to wear ties! But no more! For today, we defeat him!"
JAKE," Thank you, sir."
JAKE, Captain? S
JAKE,Sir? He's not coming back.
AMY," You know how I think Halloween is for jerks? Well, this Halloween, I was the jerk. I'm sorry about tonight."
JAKE," ""I'm sorry about tonight."" We found the title for Santiago's follow-up s*x tape."
JAKE," ""It's not your fault I was terrible"" is also one of your s*x tapes. (AMY SMACKS JAKE) Ow."
AMY, Halloween is unbearable. But it was slightly less unbearable with you. Don't.
JAKE, Okay.
AMY," Anyway. We're all going to the bar, so get changed, 'cause you can't be the only one there not wearing a 'stume."
JAKE," Ah, Captain Holt. It is so nice to see you. Never thought I'd say that."
JAKE," Yeah, you would've. Way to go all out on your costume, by the way. I believe you have an announcement to make, so the floor is yours."
JAKE, Okay -- you take the little one on the
JAKE," You gotta do it. Santa breaks the law,"
JAKE," Fine. Then I’m going in alone. (to the Santas) NYPD! Santa, stop hitting Santa! The Santas stop."
JAKE, (CONT’D)
JAKE," All right, calm down. Boyle, frisk the skinny one. BROOKLYN NINE-NINE ""Christmas"" Pink Revised Pages 10/15/13 1."
JAKE," Fine. I’ll do it. But if I find any presents, I’m keeping them."
JAKE," Aaargh! Get Santa off me! God, you reek of booze Big Santa gets involved, then Charles -- it’s a melée. Jake tries to pry Big Santa off Charles."
JAKE," Wha-- aw, gross, there’s burrito in his beard!"
JAKE," Knife! Santa has a knife! From behind, Charles KICKS Little Santa in the nuts. He goes down."
AMY, You look happy. Let me guess: your egg sandwich fell on the floor and they gave it to you for free?
JAKE, No. They do that? Why doesn’t everyone just drop their sandwich on the floor?
AMY, I was trying to insult you.
JAKE, And instead you gave me an amazing life hack! I’m smiling because I met someone and I think she may be my soulmate.
JAKE, Do you have these in any other color?
JAKE, Nice. ‘Sup?
AMY, She sounds charming.
JAKE," I know, right? She’s basically Garfield in a hot lady’s body. I’ll take her out for lasagna!"
JAKE," Oh no, Amy, this is embarrassing. I didn’t get you anything. Wait... I did get you something. A nice fresh hot cup of coffee. He hands her a CUP OF COFFEE from off his desk."
AMY," This is cold and it’s tea from yesterday. The present is for Captain Holt. It’s one of six gifts I got him, representing each of the six lessons he’s taught me: determination, wisdom, posture--"
AMY, Oh god. I have to return so many items.
JAKE," Merry Christmas, Chief. And a very merry Christmas to you, Captain. Ho-ho-ho!"
JAKE, Oh! I really came in here with the wrong energy.
JAKE," Of course, no, totally. Why would a death threat be a big deal? Oh right, because it threatens death."
JAKE, Awesome. I love secrets! Santiago got you like six presents.
JAKE, Interesting. And not at all surprising. I’m his favorite. Now what exactly does that job entail?
JAKE, Mmm hmm. Yes. Interesting. Omigod. This is amazing.
JAKE," Well. I would gladly put my life at risk for this man...to have to follow all my orders. Thank you. This is the greatest Christmas ever. God bless us, everyone!"
AMY," Peralta’s busy, so let’s just get started. Now, the captain won’t allow us to give him all the presents we bought him--"
AMY," --but, we can make him the greatest Christmas card of all time! We’re going to wear Santa hats and big sweaters and take a picture of all of us in a line-up."
AMY," Don’t worry, Sergeant -- we’ll add you in later."
AMY," Gah, fine, everyone just go. Everyone starts to file out."
JAKE," Affirmative, Stone Eagle. That’s the Secret Service codename I gave you. I’m just doing my job: watching, protecting, bossing you around. Now, for your"
JAKE," Whoa whoa whoa -- where are you going, Cold Mountain? I changed your codename."
JAKE," I’m only asking this for your safety: is it a number one or number two? Your silence indicates number two. Jake heads to the door, opens it a tiny crack and peers out."
JAKE," Coast is clear, sir. Go go go! Holt slowly walks out. Jake watches him go."
JAKE, Cold Mountain is on the move. Cold Mountain is rolling to the can.
JAKE, Well well well. We meet again. Where exactly do you think you’re going?
JAKE," Negative, Ice Veins -- I changed your code name again -- you’re not going anywhere."
JAKE," Because I am a 21st century Sherlock Holmes. Boyle is my Watson, and Santiago is my Moriarty. I will defeat her."
JAKE, Okay. But your house is off-limits -- protocol. If you really want to get out
JAKE," You’ll love it. She has a great internet connection. Not bragging, just true."
JAKE," Soooo, this is my mom’s house. Just throw your coat in the closet."
JAKE, ...Water closet. My mom is British.
JAKE," It’s a safe house, son! You been protected!"
JAKE," You refused to stay at your desk, you evaded your protection detail. Sorry: I’m ordering you to stay. God, I love giving you orders!"
JAKE, Oh no! We’re handcuffed together and we’ve lost the key! Falconer One to HQ: Stone Eagle is in the cage. Repeat: Stone Eagle is in the cage.
JAKE," I know you think I’m just goofing around, but I was ordered to protect you -- by your boss. From here on out, we are in lockdown."
JAKE," Too late, you’re in it."
JAKE," Fine. But for security reasons, I get to craft the message."
JAKE," Let’s start with a nice greeting, like “Hello, honey.”"
JAKE," Copy that -- “honey” isn’t right. “Hello, husband?” “Hello, sir?” You call each other ‘sir’?"
JAKE, Fine. I’ll give you some privacy.
AMY," Maybe, put Scully’s head on top of the tree like an angel? Nah. Put it behind the tree. Thanks for helping me make this card. You’re so good at this stuff."
AMY," Uh, she never smiles. Is her mouth broken?"
AMY, Oh god. *
AMY, This is awful. We need to get a picture of Rosa smiling. Holt’s card has to be perfect.
JAKE," Okay, my safe house, my rules: this is a no-tie zone."
JAKE, Aaaaaah.
JAKE, Oh no. This is all part of a detailed security protocol. Phase one: no ties. Phase two: sandwiches.
JAKE, A hungry safe house is an unsafe-safe house.
JAKE, It’s terrible! Try it.
JAKE, A fun safe house is a safe-safe house.
JAKE, I win.
JAKE, A “Safe House”-watching safe house is a safe-safe-house-house!
JAKE, Wow. I would not have guessed that. Those are the kinds of things you find out when you’re handcuffed together. And that is the true meaning of Christmas.
JAKE, Who knows we’re here?
JAKE, Get behind me.
JAKE, I order you to be quiet.
JAKE, Just - ugh. You go there. No I’ll be here.
JAKE, Hands in the air!
JAKE," Charles, what are you doing here? I thought you had a plane to catch."
JAKE," I can’t believe you texted Boyle when you said you were texting your husband! As the person who is completely in charge here, I’m very disappointed in you. I’m changing your code name to Bad Boy."
JAKE, I see what you’re doing there. Tushy.
JAKE," Well, I’m in charge and I like to say tushy. Charles?"
JAKE, What? Wait a minute. Old precinct? You weren’t going home. You were going to investigate the threat... because it’s not a hoax. It’s real.
JAKE," You’re lying! You have a tell. When you lie, the corner of your mouth moves. And it just moved."
JAKE, You’re lyiiiiinngggg!
JAKE," Don’t do it, Charles. I’m your best friend slash idol. Don’t make me just your idol!"
JAKE, Don’t do it... best friend.
JAKE, NO!
JAKE, That was not one of the options!
JAKE," So including letters, emails, and texts from a blocked phone, you’ve received ten threats. How many people have you put away that might want to kill you?"
JAKE," Brag. Charles, read the transcripts of the threats he’s received."
JAKE, Kind of obvious. Lame.
JAKE, Better. I would’ve gone the “stapling your face onto my face” route.
JAKE, That’s strange. “Drowning” and “Deep end.“ It’s like he’s talking about a swimming pool.
JAKE, A-ha! Who’s Haimes?
JAKE, The Free-Style Killer?! Why did all the killers you caught have such cool names? The best one I ever arrested was Narrow Shoes Sam. Because --
JAKE," Looks like you need us. Together we figured out it was Haimes, and together we’re going to find him, because together, we can do anything."
AMY," Oh my god! Rosa! I accidentally opene your mail. Look what it says... “Dear Miss Diaz, you just won --”"
AMY," I’m reading the letter, you’re taking the picture."
AMY, You smiled! She’s smiling! And no one has a camera.
JAKE, Move your arm.
JAKE," Captain, you’re stubborn and that’s an adorable quality. But you know what’s not an adorable quality?"
JAKE, Being dead. *
JAKE, I give up! What is going on? Why are you being so weird about this?
JAKE, Wow. I think I would have really gotten along with Young Ray Holt.
JAKE," Well, frankly, right now you’re acting like that same brash dumb detective. If you’d really changed, you’d be saying boring responsible stuff like: “Don’t be stupid. Let the detective squad help you. You’re part of a team. I smell like sandalwood.”"
AMY," Sir, I’m sure you had your reasons for going to Peralta, but this is exactly the type of job I would love to have."
AMY," Thank you, sir. I can’t wait. I didn’t mean -- let’s catch this bastard. Jake walks to the front, large and in charge."
JAKE, Updates. Let’s go. Santiago?
AMY, Looking into Haimes’ known associates. Nothing yet.
JAKE, Boyle?
JAKE, Scully and Hitchcock -- where are we on your special project?
JAKE," Got him! All right, everyone. Suit up. I know there’s no point in telling you not to come. But you’re staying with me."
JAKE, Man. You really take the fun out of saving your life. Let’s hit it! They all CHARGE OUT -- leaving Scully and Hitchcock.
JAKE," Okay. Haimes is armed and dangerous, so remember: watch your six, keep the radio open, and Santiago -- try to channel your lust for me into your police work. There’s too much at stake."
JAKE," If things go south, I want you to know: it was an honor being able to order you around."
JAKE, Yes. What cute little nickname do you call your husband?
JAKE, It’s ringing. This is so exciting! That’s Haimes’s phone. Converge on that amazing ring tone. This guy is awesome.
JAKE, Yes. I knew there was something.
AMY, He’s heading north on track 17.
JAKE," When this is over, we should take a train trip together. Just for fun."
JAKE, I’m Peralta. Not a big deal. Put the gun down!
JAKE, We got him! We got him!
JAKE," Oh my god, sir. It’s happening -- you’re emoting."
AMY, I’m so glad the shrink cleared you.
JAKE," Captain, this is our job. Any one of us would’ve taken that bullet."
JAKE, Oh ho. It appears the student has become the teacher. And the teacher has become--
JAKE, You’re welcome. Team pop and lock! Still?! Come on! We saved your life. Oh my god! We did it! Oh my god!
JAKE, We’re not going anywhere. What you did was amazing!
AMY," For real, Boyle. That was some Superman stuff you pulled."
JAKE," No ifs, ands, or butts. Sorry, it’s just right there. Literally -- your butt is right there, in my face."
JAKE, In the butt. Sorry.
JAKE," Butt, again sorry-- Ow."
AMY, Got it! You smiled! Holiday card complete!
JAKE," He got shot in the butt. Nooooo, strong lady"
AMY, Mm-hmm. Good thing I didn't reschedule my date for tonight. We're never leaving here.
AMY," Please, I'm begging you."
JAKE, Debit card statement. You were at a parking meter two blocks from the jewelry store an hour before the robbery.
JAKE, Could probably just say it once.
JAKE," Oh, uh... "
AMY," Oh, uh, three? "
JAKE," Yeah, I'm just gonna make some copies in here. Perfect cover. Nailed it. So apparently, the new captain survived, and his heart attack not the craziest thing that happened at the precinct today. We kissed, like, three hours ago."
AMY," Yes, we did kiss each other, for reals."
JAKE," For reals-reals. Listen. I know you said you don't want to date cops, but I really like you. "
AMY, I like you too.
JAKE, Good.
AMY, But what if we start dating and it makes things weird at work? 
JAKE," So let's just keep it light and breezy, see where it goes."
AMY, Totally. Yeah. So how do we keep it light and breezy? I know. A comprehensive set of rules.
JAKE," How am I attracted to you? Doesn't matter, I am. Go."
AMY," Rule one, let's not tell anyone so we can figure out what this is first."
JAKE," Smort. Rule number two, let's not put labels on it. We're not boyfriend and girlfriend, we're just ""mrmmzeep"" and ""jinglebin."" "
AMY," Great. Rule number three, let's not have sex right away. "
JAKE," Cool, cool, cool, cool, cool, cool...No doubt, no doubt, no doubt, no doubt. Good rule. No sex, good rule."
AMY," So, should we go out tonight? "
JAKE," Yeah, totally. Maybe 8:00, maybe 9:00. Doesn't matter. We're light and breezy."
AMY, Totally light and breezy. No! 
JAKE," Wow, very chill."
JAKE," Holy Moses, he's alive."
JAKE, What happens when the clock runs out? 
JAKE," Oh, that's fun."
JAKE, What? No. Why? 
JAKE," Charles, we just kissed 'cause we were undercover. That's it."
AMY," Yeah, it didn't mean anything."
JAKE," Not that it's any of your business, Boyle, but the person that I'm taking on a date is a girl from the gym."
AMY," Uh...Whatever, dawg. Date the flooze."
JAKE," See? It's never gonna happen, Boyle, okay? Because I find Amy repulsive, and she finds me extremely handsome. So stop pressuring us."
JAKE," So here we are, officially on a date. Romantical date."
AMY," Yes, we are. No longer just colleagues. Dating. You got a haircut. It looks nice."
JAKE," Oh, thanks. You also got a haircut—at some point in your life. I'm sure that's not your baby hair. That would be crazy. But, uh, yeah, you look very nice."
AMY, Domo arigato.
JAKE, Do you speak Japanese? 
AMY, No.
JAKE," Oh. Uh, sorry. I think I'm feeling a little awkward."
AMY," Yeah, me too."
JAKE, How do we make it not weird? 
AMY, I know. Let's just get super drunk.
JAKE," Yes, great idea. Pardon me, ma'am. Could you please bring us four kamikaze shots? "
AMY, And four for me as well.
JAKE," Ah, I like your style. See, we can do this. We're back on track. We're keeping it light and breezy."
JAKE, So we broke a rule.
AMY, Yeah. I hope it wasn't a mistake.
JAKE," ""I Hope It Wasn't a Mistake,"" title of your sex tape. Title of our sex tape."
JAKE," All right, fine. It started off a bit rocky, but it ended up being really fun."
JAKE," Boyle, I'm not gonna answer that. And no one over the age of 12 says ""french."" "
JAKE, You just asked me repeatedly.
AMY, It doesn't matter to me. I'm—I would never date Jake. I work with Jake.
AMY, Your head would explode...because of how well I would handle it.
JAKE," Captain, everything all right? "
JAKE," Oh, yeah, that means he's about halfway. But in regards to the coworkers, sir, I was telling them I wanted to get more work done, but all they wanted to do was talk about my dating life, knowing full well that my true love is efficiency. You know my motto, sir: cho's before hos. ""Cho's"" is ""chores.” What? "
JAKE, And I do.
JAKE, Yeah.
JAKE, Okay.
